n,median_s,mean_s,sd_s,min_s,max_s,iqr_s,p95_s,p99_s,cv_s,n_reps,fn_name,stage
1000,0.00293410000000449,0.00441819999999401,0.00417814700672509,0.00118470000001025,0.00913579999996728,0.00397554999997851,0.008515629999971,0.00901176599996802,0.945667241575926,3,reshape_to_long,1-import
5000,0.00368919999999662,0.00358273333334106,0.000246215867346342,0.00330120000000989,0.00375780000001669,0.000228300000003401,0.00375094000001468,0.00375642800001629,0.068722911932922,3,reshape_to_long,1-import
10000,0.00616400000001249,0.00646956666668075,0.000547281594181498,0.00614330000001928,0.00710140000001047,0.000479049999995596,0.00700766000001067,0.00708265200001051,0.0845932382148686,3,reshape_to_long,1-import
1000,0.0390498000000434,0.0494456666667134,0.0200215083952878,0.0367605000000708,0.0725267000000258,0.0178830999999775,0.0691790100000276,0.0718571620000262,0.404919374032147,3,discover_excel_files,1-import
5000,0.034657100000004,0.0370194333333605,0.00486152713590857,0.033790500000066,0.0426107000000116,0.00441009999997277,0.0418153400000108,0.0424516280000114,0.13132365080066,3,discover_excel_files,1-import
10000,0.0464906000000838,0.0450458000000632,0.00380246127793213,0.040732700000035,0.0479141000000709,0.00359070000001793,0.0477717500000722,0.0478856300000712,0.0844132256043137,3,discover_excel_files,1-import
1000,15.8978646000001,15.9440163,0.258531075234276,15.7116693,16.222515,0.255422850000002,16.19004996,16.216021992,0.0162149279309427,3,read_excel_file_sheets,1-import
5000,15.3188101000001,15.2667056333334,0.175284889436627,15.0712762,15.4100306,0.169377200000014,15.40090855,15.40820619,0.0114815136707627,3,read_excel_file_sheets,1-import
10000,15.9419755,16.0318853,0.26579163071552,15.8227095999999,16.3309708,0.254130600000053,16.29207127,16.323190894,0.0165789378941926,3,read_excel_file_sheets,1-import
