stage,fn_name,overall_median_s,max_n,max_n_median_s,p95_at_max_n_s,mean_cv
1-import,read_excel_file_sheets,3.05508009999994,100000,3.05508009999994,3.27753962000005,0.103143167539412
2-post_processing,apply_standardize_rules,0.0156256000000212,100000,0.094537100000025,0.173955600000045,0.350321625730847
2-post_processing,aggregate_standardized_rows,0.0273306000000275,100000,0.0514084000000139,0.137009549999993,0.370452930494205
2-post_processing,extract_aggregated_rows,0.0123648000000003,100000,0.0311940999999933,0.0426186400000688,0.181650520417167
