stage,fn_name,overall_median_s,max_n,max_n_median_s,p95_at_max_n_s,mean_cv
1-import,read_excel_file_sheets,2.71540909999999,100000,3.15721080000003,4.33359099,0.0880391297807883
2-post_processing,apply_standardize_rules,0.0164537000000564,100000,0.0756830000000264,0.223437750000096,0.49506624867716
2-post_processing,aggregate_standardized_rows,0.0363320000000158,100000,0.0496676000001344,0.132684260000065,0.340303304714262
2-post_processing,extract_aggregated_rows,0.0137230000000272,100000,0.0409167000000252,0.0575958599999694,0.206062578617188
