n,median_s,mean_s,sd_s,min_s,max_s,iqr_s,p95_s,p99_s,cv_s,n_reps,stage,fn_name
5000,4.4172420000001,4.19306465714294,0.464929528796266,3.27664260000006,4.56215780000014,0.46398899999997,4.54668413000011,4.55906306600013,0.110880600899929,7,1-import,read_excel_file_sheets
10000,4.76146760000006,4.90294395714289,0.255428668781894,4.65809320000005,5.36210489999996,0.309483799999953,5.27750681999997,5.34518528399997,0.0520969994792151,7,1-import,read_excel_file_sheets
25000,4.89671229999999,4.93096204285718,0.641077533048018,4.1129651,5.69062860000008,0.922365650000017,5.66750346000009,5.68600357200008,0.130010640413803,7,1-import,read_excel_file_sheets
50000,3.89691479999999,3.93974827142857,0.194497015139579,3.74844359999986,4.30883840000001,0.187885350000101,4.23984566000004,4.29503985200002,0.0493678787931934,7,1-import,read_excel_file_sheets
100000,2.8687460000001,3.04938810000004,0.522594624336749,2.50035309999998,3.77074440000001,0.88096969999998,3.70211187000001,3.75701789400001,0.171376881918291,7,1-import,read_excel_file_sheets
5000,0.00740320000011252,0.0111494142857477,0.00947139673447716,0.00591589999999087,0.0322100000000773,0.0033846000000608,0.0259823300000676,0.0309644660000754,0.849497246378624,7,2-post_processing,apply_standardize_rules
10000,0.00766250000003765,0.00768577142860392,0.00101248677642102,0.00657810000006975,0.00965470000005553,0.000876150000124198,0.00913303000006635,0.00955036600005769,0.131735218231039,7,2-post_processing,apply_standardize_rules
25000,0.0113217000000532,0.0119241285714874,0.0020279664788149,0.0104860999999801,0.016358200000127,0.0010565500000439,0.0150458800001047,0.0160957360001225,0.170072510259921,7,2-post_processing,apply_standardize_rules
50000,0.0209649000000809,0.0220638000000365,0.00590747823640228,0.0170343999999432,0.0341050000000678,0.00512224999999944,0.0311606500000494,0.0335161300000641,0.267745276715366,7,2-post_processing,apply_standardize_rules
100000,0.0495889000000034,0.0623431428571653,0.0312010766782377,0.0457879000000503,0.13237150000009,0.00891914999999699,0.109674100000063,0.127832020000085,0.500473271771406,7,2-post_processing,apply_standardize_rules
5000,0.0153493000000253,0.0191070857143002,0.00803631123762123,0.0142785000000458,0.0363700999999992,0.00411134999995966,0.0320077999999967,0.0354976399999987,0.420593247854993,7,2-post_processing,aggregate_standardized_rows
10000,0.0196878000000424,0.0205823571428872,0.00215999288182759,0.0182795000000624,0.0236322000000655,0.00324119999999084,0.0235066500000585,0.0236070900000641,0.104943902529358,7,2-post_processing,aggregate_standardized_rows
25000,0.0346337999999378,0.0360228285714551,0.00618207853250357,0.03043480000008,0.0455733999999666,0.00790340000003198,0.0450308799999789,0.045464895999969,0.171615577611868,7,2-post_processing,aggregate_standardized_rows
50000,0.0649073000000726,0.0770162142857609,0.0336218957829665,0.0553058000000419,0.148416900000029,0.0227846499999487,0.130549860000031,0.144843492000029,0.436556069326076,7,2-post_processing,aggregate_standardized_rows
100000,0.092326000000071,0.106522314285745,0.0355408762402942,0.084998300000052,0.185343200000034,0.015203549999967,0.161219810000023,0.180518522000032,0.333647240755174,7,2-post_processing,aggregate_standardized_rows
5000,0.00859800000000632,0.00949694285718904,0.00309248252586815,0.00770520000003216,0.0164293000000271,0.000816049999968982,0.0141924400000335,0.0159819280000283,0.325629265372191,7,2-post_processing,extract_aggregated_rows
10000,0.0100922999999966,0.0103181571428682,0.000572415265527539,0.00960969999994177,0.0113479999999981,0.000571150000041598,0.0111496400000078,0.0113083280000001,0.0554765020150121,7,2-post_processing,extract_aggregated_rows
25000,0.015713900000037,0.0164443714286173,0.00188042340332525,0.0148726000001034,0.0203414000001203,0.00143674999998211,0.0193529600000716,0.0201437120001106,0.114350579557747,7,2-post_processing,extract_aggregated_rows
50000,0.027249500000039,0.0286505000000099,0.00416946707226204,0.0250492999999779,0.0362281999999823,0.00435944999998128,0.0351081200000067,0.0360041839999872,0.145528597136546,7,2-post_processing,extract_aggregated_rows
100000,0.0326866000000337,0.0320428000000155,0.00294265170835262,0.0269702000000507,0.0355807000000823,0.00309165000004441,0.0353842600000462,0.0355414120000751,0.0918350365246232,7,2-post_processing,extract_aggregated_rows
