n,rep,elapsed_s,stage,fn_name
5000,1,2.63224620000005,1-import,read_excel_file_sheets
5000,2,2.64058050000006,1-import,read_excel_file_sheets
5000,3,2.5965222000001,1-import,read_excel_file_sheets
5000,4,2.83835860000011,1-import,read_excel_file_sheets
5000,5,2.77045169999997,1-import,read_excel_file_sheets
5000,6,2.78719740000008,1-import,read_excel_file_sheets
5000,7,2.46499820000008,1-import,read_excel_file_sheets
10000,1,2.64819670000009,1-import,read_excel_file_sheets
10000,2,2.71540909999999,1-import,read_excel_file_sheets
10000,3,2.60092369999995,1-import,read_excel_file_sheets
10000,4,2.6416074,1-import,read_excel_file_sheets
10000,5,3.08830510000007,1-import,read_excel_file_sheets
10000,6,3.29844690000004,1-import,read_excel_file_sheets
10000,7,2.92083130000003,1-import,read_excel_file_sheets
25000,1,2.86156100000005,1-import,read_excel_file_sheets
25000,2,2.93008280000004,1-import,read_excel_file_sheets
25000,3,2.82226370000001,1-import,read_excel_file_sheets
25000,4,2.81784390000007,1-import,read_excel_file_sheets
25000,5,2.57171080000012,1-import,read_excel_file_sheets
25000,6,2.53911779999999,1-import,read_excel_file_sheets
25000,7,2.70908589999999,1-import,read_excel_file_sheets
50000,1,2.46215970000003,1-import,read_excel_file_sheets
50000,2,2.45138400000008,1-import,read_excel_file_sheets
50000,3,2.53744129999996,1-import,read_excel_file_sheets
50000,4,2.69358049999994,1-import,read_excel_file_sheets
50000,5,2.61182800000006,1-import,read_excel_file_sheets
50000,6,2.58454540000002,1-import,read_excel_file_sheets
50000,7,2.61191069999995,1-import,read_excel_file_sheets
100000,1,2.70550309999999,1-import,read_excel_file_sheets
100000,2,2.60845640000002,1-import,read_excel_file_sheets
100000,3,3.11621289999994,1-import,read_excel_file_sheets
100000,4,3.15721080000003,1-import,read_excel_file_sheets
100000,5,4.29190830000005,1-import,read_excel_file_sheets
100000,6,4.35145499999999,1-import,read_excel_file_sheets
100000,7,3.81858430000011,1-import,read_excel_file_sheets
5000,1,0.0775075000000243,2-post_processing,apply_standardize_rules
5000,2,0.0160123000000567,2-post_processing,apply_standardize_rules
5000,3,0.00961829999994279,2-post_processing,apply_standardize_rules
5000,4,0.00948070000004009,2-post_processing,apply_standardize_rules
5000,5,0.00777780000009898,2-post_processing,apply_standardize_rules
5000,6,0.00755510000010418,2-post_processing,apply_standardize_rules
5000,7,0.00666960000000927,2-post_processing,apply_standardize_rules
10000,1,0.00910340000007182,2-post_processing,apply_standardize_rules
10000,2,0.00810009999997874,2-post_processing,apply_standardize_rules
10000,3,0.00858979999998155,2-post_processing,apply_standardize_rules
10000,4,0.00903870000001916,2-post_processing,apply_standardize_rules
10000,5,0.0115586000000576,2-post_processing,apply_standardize_rules
10000,6,0.0115028000000166,2-post_processing,apply_standardize_rules
10000,7,0.0105511000000433,2-post_processing,apply_standardize_rules
25000,1,0.0164537000000564,2-post_processing,apply_standardize_rules
25000,2,0.0161957000000257,2-post_processing,apply_standardize_rules
25000,3,0.0178650000000289,2-post_processing,apply_standardize_rules
25000,4,0.0165395000000217,2-post_processing,apply_standardize_rules
25000,5,0.0224127000001317,2-post_processing,apply_standardize_rules
25000,6,0.0151902000000064,2-post_processing,apply_standardize_rules
25000,7,0.0157955999998194,2-post_processing,apply_standardize_rules
50000,1,0.0269947000000457,2-post_processing,apply_standardize_rules
50000,2,0.0348443999999972,2-post_processing,apply_standardize_rules
50000,3,0.0325331999999889,2-post_processing,apply_standardize_rules
50000,4,0.0527506999999332,2-post_processing,apply_standardize_rules
50000,5,0.0255821000000651,2-post_processing,apply_standardize_rules
50000,6,0.0324105000000827,2-post_processing,apply_standardize_rules
50000,7,0.0315140999999812,2-post_processing,apply_standardize_rules
100000,1,0.0663272000000461,2-post_processing,apply_standardize_rules
100000,2,0.0747699999999441,2-post_processing,apply_standardize_rules
100000,3,0.0756830000000264,2-post_processing,apply_standardize_rules
100000,4,0.173971900000083,2-post_processing,apply_standardize_rules
100000,5,0.0736911000000191,2-post_processing,apply_standardize_rules
100000,6,0.244637400000102,2-post_processing,apply_standardize_rules
100000,7,0.110838800000124,2-post_processing,apply_standardize_rules
5000,1,0.0549151000000165,2-post_processing,aggregate_standardized_rows
5000,2,0.0325740000000678,2-post_processing,aggregate_standardized_rows
5000,3,0.0189037000000098,2-post_processing,aggregate_standardized_rows
5000,4,0.0197940000000472,2-post_processing,aggregate_standardized_rows
5000,5,0.0184741000000486,2-post_processing,aggregate_standardized_rows
5000,6,0.0202213000001166,2-post_processing,aggregate_standardized_rows
5000,7,0.0194659000001138,2-post_processing,aggregate_standardized_rows
10000,1,0.0235973000001195,2-post_processing,aggregate_standardized_rows
10000,2,0.022089899999969,2-post_processing,aggregate_standardized_rows
10000,3,0.0199651000000358,2-post_processing,aggregate_standardized_rows
10000,4,0.0187645000000884,2-post_processing,aggregate_standardized_rows
10000,5,0.0208710000000565,2-post_processing,aggregate_standardized_rows
10000,6,0.025326199999995,2-post_processing,aggregate_standardized_rows
10000,7,0.0321251000000302,2-post_processing,aggregate_standardized_rows
25000,1,0.031082500000025,2-post_processing,aggregate_standardized_rows
25000,2,0.0331909000000223,2-post_processing,aggregate_standardized_rows
25000,3,0.0390121000000363,2-post_processing,aggregate_standardized_rows
25000,4,0.0308428000000731,2-post_processing,aggregate_standardized_rows
25000,5,0.0363320000000158,2-post_processing,aggregate_standardized_rows
25000,6,0.0367051000000629,2-post_processing,aggregate_standardized_rows
25000,7,0.0512869999998884,2-post_processing,aggregate_standardized_rows
50000,1,0.0506339000000935,2-post_processing,aggregate_standardized_rows
50000,2,0.0507967000000917,2-post_processing,aggregate_standardized_rows
50000,3,0.0404920000000857,2-post_processing,aggregate_standardized_rows
50000,4,0.0514752999999928,2-post_processing,aggregate_standardized_rows
50000,5,0.0353544000000738,2-post_processing,aggregate_standardized_rows
50000,6,0.0422813000000133,2-post_processing,aggregate_standardized_rows
50000,7,0.0399548000000323,2-post_processing,aggregate_standardized_rows
100000,1,0.164297300000044,2-post_processing,aggregate_standardized_rows
100000,2,0.0496676000001344,2-post_processing,aggregate_standardized_rows
