stage,fn_name,n,median_s_iter0,mean_s_iter0,sd_s_iter0,min_s_iter0,max_s_iter0,iqr_s_iter0,p95_s_iter0,p99_s_iter0,cv_s_iter0,n_reps_iter0,median_s_iter1,mean_s_iter1,sd_s_iter1,min_s_iter1,max_s_iter1,iqr_s_iter1,p95_s_iter1,p99_s_iter1,cv_s_iter1,n_reps_iter1,delta_median_s,pct_median_change,speedup_x
1-import,read_excel_file_sheets,5000,4.4172420000001,4.19306465714294,0.464929528796266,3.27664260000006,4.56215780000014,0.46398899999997,4.54668413000011,4.55906306600013,0.110880600899929,7,3.7855356,3.73649230000006,0.505344967527677,3.08729650000009,4.30627930000003,0.833196150000049,4.28546779000005,4.30211699800003,0.13524582066653,7,-0.631706400000101,-14.3009235174366,1.16687371794895
1-import,read_excel_file_sheets,10000,4.76146760000006,4.90294395714289,0.255428668781894,4.65809320000005,5.36210489999996,0.309483799999953,5.27750681999997,5.34518528399997,0.0520969994792151,7,3.10566930000005,3.10378065714289,0.181070669963827,2.92167040000004,3.4557863,0.153613800000073,3.36970559000001,3.438570158,0.0583387455383227,7,-1.65579830000001,-34.774956780132,1.53315344940299
1-import,read_excel_file_sheets,25000,4.89671229999999,4.93096204285718,0.641077533048018,4.1129651,5.69062860000008,0.922365650000017,5.66750346000009,5.68600357200008,0.130010640413803,7,2.95548610000003,3.11659121428576,0.348014582577355,2.77406229999997,3.72446609999997,0.308779000000015,3.65279076000002,3.71013103199998,0.111665136249545,7,-1.94122619999996,-39.6434603682958,1.65682129244321
1-import,read_excel_file_sheets,50000,3.89691479999999,3.93974827142857,0.194497015139579,3.74844359999986,4.30883840000001,0.187885350000101,4.23984566000004,4.29503985200002,0.0493678787931934,7,2.79398519999984,2.77762684285714,0.0635989349724063,2.67484830000001,2.87225339999998,0.0586225000000695,2.85469574999999,2.86874186999998,0.0228968607269747,7,-1.10292960000015,-28.3026357158271,1.39475141099538
1-import,read_excel_file_sheets,100000,2.8687460000001,3.04938810000004,0.522594624336749,2.50035309999998,3.77074440000001,0.88096969999998,3.70211187000001,3.75701789400001,0.171376881918291,7,2.84503910000001,3.19387200000004,0.630871501784368,2.49614780000002,4.0375418000001,1.01729964999993,3.98022386000008,4.0260782120001,0.197525605842802,7,-0.0237069000000902,-0.826385465987212,1.0083327150056
2-post_processing,aggregate_standardized_rows,5000,0.0153493000000253,0.0191070857143002,0.00803631123762123,0.0142785000000458,0.0363700999999992,0.00411134999995966,0.0320077999999967,0.0354976399999987,0.420593247854993,7,0.018210100000033,0.0271515714286222,0.0200754819234537,0.0169944000000442,0.0719916000000467,0.00569834999998875,0.0585486300000411,0.0693030060000455,0.739385636526763,7,0.0028608000000077,18.6379834911233,0.842900368476696
2-post_processing,aggregate_standardized_rows,10000,0.0196878000000424,0.0205823571428872,0.00215999288182759,0.0182795000000624,0.0236322000000655,0.00324119999999084,0.0235066500000585,0.0236070900000641,0.104943902529358,7,0.0214415000000372,0.0211977571429023,0.00183183014934619,0.0178679000000557,0.02300809999997,0.00206439999988106,0.0229630099999781,0.0229990819999716,0.0864162249334734,7,0.0017536999999948,8.90754680559041,0.918210013292365
2-post_processing,aggregate_standardized_rows,25000,0.0346337999999378,0.0360228285714551,0.00618207853250357,0.03043480000008,0.0455733999999666,0.00790340000003198,0.0450308799999789,0.045464895999969,0.171615577611868,7,0.0316867000000229,0.0345016571429012,0.00718310466646548,0.0264137000000346,0.0452294000000393,0.00906029999998736,0.0446490200000312,0.0451133240000377,0.208195932059554,7,-0.0029470999999149,-8.50931748731065,1.09300747632012
2-post_processing,aggregate_standardized_rows,50000,0.0649073000000726,0.0770162142857609,0.0336218957829665,0.0553058000000419,0.148416900000029,0.0227846499999487,0.130549860000031,0.144843492000029,0.436556069326076,7,0.0587309000000005,0.0732795285714636,0.041580919087222,0.0482714000000897,0.165358800000035,0.0188356999998973,0.137406329999999,0.159768306000028,0.567428856296086,7,-0.00617640000007209,-9.51572473368202,1.10516440238566
2-post_processing,aggregate_standardized_rows,100000,0.092326000000071,0.106522314285745,0.0355408762402942,0.084998300000052,0.185343200000034,0.015203549999967,0.161219810000023,0.180518522000032,0.333647240755174,7,0.0775002000000313,0.0824132142857609,0.014825613175881,0.0680753000000323,0.113836300000003,0.0075904499999524,0.105073840000011,0.112083808000004,0.179893640896888,7,-0.0148258000000397,-16.058098477166,1.19130015148392
2-post_processing,apply_standardize_rules,5000,0.00740320000011252,0.0111494142857477,0.00947139673447716,0.00591589999999087,0.0322100000000773,0.0033846000000608,0.0259823300000676,0.0309644660000754,0.849497246378624,7,0.0116340000000719,0.0184259571428973,0.0175879223128131,0.00851400000010472,0.057745299999965,0.00464859999993905,0.0457910499999798,0.055354449999968,0.95451878979284,7,0.00423079999995938,57.1482602103831,0.636341756925113
2-post_processing,apply_standardize_rules,10000,0.00766250000003765,0.00768577142860392,0.00101248677642102,0.00657810000006975,0.00965470000005553,0.000876150000124198,0.00913303000006635,0.00955036600005769,0.131735218231039,7,0.0114903999999569,0.0118185714286158,0.00135620321697004,0.0103776000000835,0.0140217000000575,0.0019318500000054,0.0136873800000558,0.0139548360000572,0.114751873791305,7,0.00382789999991925,49.9562805859764,0.666861031823643
2-post_processing,apply_standardize_rules,25000,0.0113217000000532,0.0119241285714874,0.0020279664788149,0.0104860999999801,0.016358200000127,0.0010565500000439,0.0150458800001047,0.0160957360001225,0.170072510259921,7,0.0200638999999683,0.0195460285714424,0.00226209755665413,0.0148659999999836,0.0216262000000143,0.00138625000005277,0.021495130000028,0.021599986000017,0.115731824927298,7,0.0087421999999151,77.2163191029088,0.564282118634517
2-post_processing,apply_standardize_rules,50000,0.0209649000000809,0.0220638000000365,0.00590747823640228,0.0170343999999432,0.0341050000000678,0.00512224999999944,0.0311606500000494,0.0335161300000641,0.267745276715366,7,0.0392524000000094,0.0397571857143118,0.00852223811419218,0.0292623999999933,0.052359200000069,0.0116934499999957,0.0513561800000502,0.0521585960000652,0.214357177478091,7,0.0182874999999285,87.2291305937922,0.534104920974918
2-post_processing,apply_standardize_rules,100000,0.0495889000000034,0.0623431428571653,0.0312010766782377,0.0457879000000503,0.13237150000009,0.00891914999999699,0.109674100000063,0.127832020000085,0.500473271771406,7,0.0809906000000638,0.094614557142888,0.045736010937653,0.061941499999989,0.196830900000009,0.00753125000005639,0.163495170000044,0.190163754000016,0.483392961070272,7,0.0314017000000604,63.3240503420287,0.612279696655715
2-post_processing,extract_aggregated_rows,5000,0.00859800000000632,0.00949694285718904,0.00309248252586815,0.00770520000003216,0.0164293000000271,0.000816049999968982,0.0141924400000335,0.0159819280000283,0.325629265372191,7,0.00894950000008521,0.0107748000000356,0.0049767706805194,0.00746460000004845,0.021894599999996,0.00127664999996568,0.0183208499999978,0.0211798499999963,0.461889843013601,7,0.000351500000078891,4.0881600381325,0.960724062788363
2-post_processing,extract_aggregated_rows,10000,0.0100922999999966,0.0103181571428682,0.000572415265527539,0.00960969999994177,0.0113479999999981,0.000571150000041598,0.0111496400000078,0.0113083280000001,0.0554765020150121,7,0.0120031000000154,0.0118452857143276,0.000596962445569027,0.0110548000000108,0.0125134000001026,0.000964449999912631,0.0124978600000532,0.0125102920000927,0.050396626975993,7,0.0019108000000188,18.9332461383376,0.840807791319213
2-post_processing,extract_aggregated_rows,25000,0.015713900000037,0.0164443714286173,0.00188042340332525,0.0148726000001034,0.0203414000001203,0.00143674999998211,0.0193529600000716,0.0201437120001106,0.114350579557747,7,0.0215531000000055,0.0213021285714409,0.00406970325568364,0.0167944999999463,0.0289739000000964,0.00358499999998685,0.0271405400000731,0.0286072280000917,0.191046788682882,7,0.0058391999999685,37.1594575500337,0.729078415635477
2-post_processing,extract_aggregated_rows,50000,0.027249500000039,0.0286505000000099,0.00416946707226204,0.0250492999999779,0.0362281999999823,0.00435944999998128,0.0351081200000067,0.0360041839999872,0.145528597136546,7,0.0330567000000883,0.0364686714285978,0.00740826958645203,0.0303228000000217,0.0507976999999755,0.00779755000007754,0.0478784899999823,0.0502138579999769,0.203140649117331,7,0.0058072000000493,21.3112167197232,0.824326082154789
2-post_processing,extract_aggregated_rows,100000,0.0326866000000337,0.0320428000000155,0.00294265170835262,0.0269702000000507,0.0355807000000823,0.00309165000004441,0.0353842600000462,0.0355414120000751,0.0918350365246232,7,0.0362587000000758,0.0530336714285958,0.0433653556416964,0.0331380000000081,0.150956899999983,0.0080242500000054,0.118991509999989,0.144563821999984,0.817694767749264,7,0.0035721000000421,10.9283314876384,0.901482954434808
