n,median_s,mean_s,sd_s,min_s,max_s,iqr_s,p95_s,p99_s,cv_s,n_reps,stage,fn_name
5000,3.7855356,3.73649230000006,0.505344967527677,3.08729650000009,4.30627930000003,0.833196150000049,4.28546779000005,4.30211699800003,0.13524582066653,7,1-import,read_excel_file_sheets
10000,3.10566930000005,3.10378065714289,0.181070669963827,2.92167040000004,3.4557863,0.153613800000073,3.36970559000001,3.438570158,0.0583387455383227,7,1-import,read_excel_file_sheets
25000,2.95548610000003,3.11659121428576,0.348014582577355,2.77406229999997,3.72446609999997,0.308779000000015,3.65279076000002,3.71013103199998,0.111665136249545,7,1-import,read_excel_file_sheets
50000,2.79398519999984,2.77762684285714,0.0635989349724063,2.67484830000001,2.87225339999998,0.0586225000000695,2.85469574999999,2.86874186999998,0.0228968607269747,7,1-import,read_excel_file_sheets
100000,2.84503910000001,3.19387200000004,0.630871501784368,2.49614780000002,4.0375418000001,1.01729964999993,3.98022386000008,4.0260782120001,0.197525605842802,7,1-import,read_excel_file_sheets
5000,0.0116340000000719,0.0184259571428973,0.0175879223128131,0.00851400000010472,0.057745299999965,0.00464859999993905,0.0457910499999798,0.055354449999968,0.95451878979284,7,2-post_processing,apply_standardize_rules
10000,0.0114903999999569,0.0118185714286158,0.00135620321697004,0.0103776000000835,0.0140217000000575,0.0019318500000054,0.0136873800000558,0.0139548360000572,0.114751873791305,7,2-post_processing,apply_standardize_rules
25000,0.0200638999999683,0.0195460285714424,0.00226209755665413,0.0148659999999836,0.0216262000000143,0.00138625000005277,0.021495130000028,0.021599986000017,0.115731824927298,7,2-post_processing,apply_standardize_rules
50000,0.0392524000000094,0.0397571857143118,0.00852223811419218,0.0292623999999933,0.052359200000069,0.0116934499999957,0.0513561800000502,0.0521585960000652,0.214357177478091,7,2-post_processing,apply_standardize_rules
100000,0.0809906000000638,0.094614557142888,0.045736010937653,0.061941499999989,0.196830900000009,0.00753125000005639,0.163495170000044,0.190163754000016,0.483392961070272,7,2-post_processing,apply_standardize_rules
5000,0.018210100000033,0.0271515714286222,0.0200754819234537,0.0169944000000442,0.0719916000000467,0.00569834999998875,0.0585486300000411,0.0693030060000455,0.739385636526763,7,2-post_processing,aggregate_standardized_rows
10000,0.0214415000000372,0.0211977571429023,0.00183183014934619,0.0178679000000557,0.02300809999997,0.00206439999988106,0.0229630099999781,0.0229990819999716,0.0864162249334734,7,2-post_processing,aggregate_standardized_rows
25000,0.0316867000000229,0.0345016571429012,0.00718310466646548,0.0264137000000346,0.0452294000000393,0.00906029999998736,0.0446490200000312,0.0451133240000377,0.208195932059554,7,2-post_processing,aggregate_standardized_rows
50000,0.0587309000000005,0.0732795285714636,0.041580919087222,0.0482714000000897,0.165358800000035,0.0188356999998973,0.137406329999999,0.159768306000028,0.567428856296086,7,2-post_processing,aggregate_standardized_rows
100000,0.0775002000000313,0.0824132142857609,0.014825613175881,0.0680753000000323,0.113836300000003,0.0075904499999524,0.105073840000011,0.112083808000004,0.179893640896888,7,2-post_processing,aggregate_standardized_rows
5000,0.00894950000008521,0.0107748000000356,0.0049767706805194,0.00746460000004845,0.021894599999996,0.00127664999996568,0.0183208499999978,0.0211798499999963,0.461889843013601,7,2-post_processing,extract_aggregated_rows
10000,0.0120031000000154,0.0118452857143276,0.000596962445569027,0.0110548000000108,0.0125134000001026,0.000964449999912631,0.0124978600000532,0.0125102920000927,0.050396626975993,7,2-post_processing,extract_aggregated_rows
25000,0.0215531000000055,0.0213021285714409,0.00406970325568364,0.0167944999999463,0.0289739000000964,0.00358499999998685,0.0271405400000731,0.0286072280000917,0.191046788682882,7,2-post_processing,extract_aggregated_rows
50000,0.0330567000000883,0.0364686714285978,0.00740826958645203,0.0303228000000217,0.0507976999999755,0.00779755000007754,0.0478784899999823,0.0502138579999769,0.203140649117331,7,2-post_processing,extract_aggregated_rows
100000,0.0362587000000758,0.0530336714285958,0.0433653556416964,0.0331380000000081,0.150956899999983,0.0080242500000054,0.118991509999989,0.144563821999984,0.817694767749264,7,2-post_processing,extract_aggregated_rows
