n,rep,elapsed_s,stage,fn_name
5000,1,4.98430259999998,1-import,read_excel_file_sheets
5000,2,4.51177890000008,1-import,read_excel_file_sheets
5000,3,4.37099450000005,1-import,read_excel_file_sheets
5000,4,2.97324079999999,1-import,read_excel_file_sheets
5000,5,2.7456628000001,1-import,read_excel_file_sheets
5000,6,2.89033010000003,1-import,read_excel_file_sheets
5000,7,3.46967630000006,1-import,read_excel_file_sheets
10000,1,4.14202940000007,1-import,read_excel_file_sheets
10000,2,3.02154130000008,1-import,read_excel_file_sheets
10000,3,3.12886040000001,1-import,read_excel_file_sheets
10000,4,3.03577560000008,1-import,read_excel_file_sheets
10000,5,3.15599599999985,1-import,read_excel_file_sheets
10000,6,3.04043139999999,1-import,read_excel_file_sheets
10000,7,2.88842870000008,1-import,read_excel_file_sheets
25000,1,3.0515286000001,1-import,read_excel_file_sheets
25000,2,3.10973700000011,1-import,read_excel_file_sheets
25000,3,2.96252270000002,1-import,read_excel_file_sheets
25000,4,2.80015290000006,1-import,read_excel_file_sheets
25000,5,2.97837320000008,1-import,read_excel_file_sheets
25000,6,3.00054980000004,1-import,read_excel_file_sheets
25000,7,3.05313860000013,1-import,read_excel_file_sheets
50000,1,2.91068389999998,1-import,read_excel_file_sheets
50000,2,3.07123090000005,1-import,read_excel_file_sheets
50000,3,3.06251359999999,1-import,read_excel_file_sheets
50000,4,3.10081059999993,1-import,read_excel_file_sheets
50000,5,3.19113690000006,1-import,read_excel_file_sheets
50000,6,3.06541340000001,1-import,read_excel_file_sheets
50000,7,3.07788960000005,1-import,read_excel_file_sheets
100000,1,3.05508009999994,1-import,read_excel_file_sheets
100000,2,3.18094680000002,1-import,read_excel_file_sheets
100000,3,3.30883760000006,1-import,read_excel_file_sheets
100000,4,3.20451100000003,1-import,read_excel_file_sheets
100000,5,2.93872760000011,1-import,read_excel_file_sheets
100000,6,2.60107900000003,1-import,read_excel_file_sheets
100000,7,2.88092150000011,1-import,read_excel_file_sheets
5000,1,0.0352463000000398,2-post_processing,apply_standardize_rules
5000,2,0.0118298000001005,2-post_processing,apply_standardize_rules
5000,3,0.00778379999985646,2-post_processing,apply_standardize_rules
5000,4,0.00701300000002902,2-post_processing,apply_standardize_rules
5000,5,0.0072343000000501,2-post_processing,apply_standardize_rules
5000,6,0.00761840000006941,2-post_processing,apply_standardize_rules
5000,7,0.00675219999993715,2-post_processing,apply_standardize_rules
10000,1,0.00888970000005429,2-post_processing,apply_standardize_rules
10000,2,0.0105416000000105,2-post_processing,apply_standardize_rules
10000,3,0.00846370000010666,2-post_processing,apply_standardize_rules
10000,4,0.0104292999999416,2-post_processing,apply_standardize_rules
10000,5,0.00988730000005944,2-post_processing,apply_standardize_rules
10000,6,0.00910959999998795,2-post_processing,apply_standardize_rules
10000,7,0.00913650000006783,2-post_processing,apply_standardize_rules
25000,1,0.0157732000000124,2-post_processing,apply_standardize_rules
25000,2,0.0151758000000655,2-post_processing,apply_standardize_rules
25000,3,0.0156256000000212,2-post_processing,apply_standardize_rules
25000,4,0.0154794000000038,2-post_processing,apply_standardize_rules
25000,5,0.0192025000000058,2-post_processing,apply_standardize_rules
25000,6,0.0143233000000009,2-post_processing,apply_standardize_rules
25000,7,0.0157157000001007,2-post_processing,apply_standardize_rules
50000,1,0.0245136000000912,2-post_processing,apply_standardize_rules
50000,2,0.0322846000000254,2-post_processing,apply_standardize_rules
50000,3,0.0300987000000532,2-post_processing,apply_standardize_rules
50000,4,0.0537097999999787,2-post_processing,apply_standardize_rules
50000,5,0.0274838000000273,2-post_processing,apply_standardize_rules
50000,6,0.0341329000000314,2-post_processing,apply_standardize_rules
50000,7,0.037298000000078,2-post_processing,apply_standardize_rules
100000,1,0.0807161000000178,2-post_processing,apply_standardize_rules
100000,2,0.094537100000025,2-post_processing,apply_standardize_rules
100000,3,0.121689600000082,2-post_processing,apply_standardize_rules
100000,4,0.180317700000046,2-post_processing,apply_standardize_rules
100000,5,0.0716807000000017,2-post_processing,apply_standardize_rules
