n,rep,elapsed_s,stage,fn_name
100000,7,0.0767443000000867,2-post_processing,aggregate_standardized_rows
5000,1,0.00746460000004845,2-post_processing,extract_aggregated_rows
5000,2,0.021894599999996,2-post_processing,extract_aggregated_rows
5000,3,0.00844150000000354,2-post_processing,extract_aggregated_rows
5000,4,0.00894950000008521,2-post_processing,extract_aggregated_rows
5000,5,0.00883930000009059,2-post_processing,extract_aggregated_rows
5000,6,0.00998210000000199,2-post_processing,extract_aggregated_rows
5000,7,0.00985200000002351,2-post_processing,extract_aggregated_rows
10000,1,0.0111662000000479,2-post_processing,extract_aggregated_rows
10000,2,0.0124615999999378,2-post_processing,extract_aggregated_rows
10000,3,0.0125134000001026,2-post_processing,extract_aggregated_rows
10000,4,0.0110548000000108,2-post_processing,extract_aggregated_rows
10000,5,0.0120031000000154,2-post_processing,extract_aggregated_rows
10000,6,0.0115422000001217,2-post_processing,extract_aggregated_rows
10000,7,0.0121757000000571,2-post_processing,extract_aggregated_rows
25000,1,0.0215531000000055,2-post_processing,extract_aggregated_rows
25000,2,0.021618999999987,2-post_processing,extract_aggregated_rows
25000,3,0.0173150000000533,2-post_processing,extract_aggregated_rows
25000,4,0.0199966999999788,2-post_processing,extract_aggregated_rows
25000,5,0.0228627000000188,2-post_processing,extract_aggregated_rows
25000,6,0.0289739000000964,2-post_processing,extract_aggregated_rows
25000,7,0.0167944999999463,2-post_processing,extract_aggregated_rows
50000,1,0.0303228000000217,2-post_processing,extract_aggregated_rows
50000,2,0.0307041999999456,2-post_processing,extract_aggregated_rows
50000,3,0.037282300000129,2-post_processing,extract_aggregated_rows
50000,4,0.0507976999999755,2-post_processing,extract_aggregated_rows
50000,5,0.0330567000000883,2-post_processing,extract_aggregated_rows
50000,6,0.0320500000000266,2-post_processing,extract_aggregated_rows
50000,7,0.0410669999999982,2-post_processing,extract_aggregated_rows
100000,1,0.0362587000000758,2-post_processing,extract_aggregated_rows
100000,2,0.0331380000000081,2-post_processing,extract_aggregated_rows
100000,3,0.0390597000000525,2-post_processing,extract_aggregated_rows
100000,4,0.0444056000000046,2-post_processing,extract_aggregated_rows
100000,5,0.0341986000000816,2-post_processing,extract_aggregated_rows
100000,6,0.0332181999999648,2-post_processing,extract_aggregated_rows
100000,7,0.150956899999983,2-post_processing,extract_aggregated_rows
